Stone,Column,Order,PID,Name,M/F,Birth date,Year of departure,Age at departure,Death date,Notes,Pioneer Database Link
3,Right,31,LH5Y-9FR,"Johnson, Emily Miranda",F,1849-09-30,1852,2,29 June 1852,,https://history.churchofjesuschrist.org/chd/individual/emily-miranda-johnson-1849
12,Left,15,KWVP-6G5,"Johnson, Ida Charlotte",F,1859-10-29,Unknown,Unknown,23 June 1863,"May not have died on the trail. Family history suggests that she died in Florence, Nebraska three weeks before the family began their trek to Utah. The family may have reached Utah in 1863, but that has not yet been confirmed. If she died before the family began their trek, this profile will be removed from the database. ",https://history.churchofjesuschrist.org/chd/individual/ida-charlotte-johnson-1859
1,Right,43,LKY6-865,"Johnson, Mary ",F,1848-09-16,1848,infant,16 September 1848,,https://history.churchofjesuschrist.org/chd/individual/mary-johnson-1848
1,Right,44,M5S9-K4M,"Johnson, Sara",F,1848-09-16,1848,infant,16 September 1848,,https://history.churchofjesuschrist.org/chd/individual/sarah-johnson-1848
11,Right,34,KF27-FH5,"Jolley, John",M,1862-08-09,1862,infant,13 October 1862,,https://history.churchofjesuschrist.org/chd/individual/john-jolley-1862
12,Left,16,21JP-Z4S,"Jonasson, Bengta",F,1858-04-04,Unknown,Unknown,About 1863,"May not have died on trail. May have died earlier. Dates of travel and exact date of death not confirmed. If it is determined that she died before the trek, this profile will be removed from the database.",https://history.churchofjesuschrist.org/chd/individual/bengta-johnson-1858
11,Right,35,MSZK-D84,"Jones, Elizabeth",F,1854-09-12,1862,7,15 August 1862,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-jones-1854
11,Right,36,MWJK-38R,"Jones, Heber",M,1858-05-08,1862,4,25 August 1862,,https://history.churchofjesuschrist.org/chd/individual/heber-jones-1858
11,Right,37,MWJK-3ZF,"Jones, Jacob",M,1852-11-20,1862,9,29 July 1862,,https://history.churchofjesuschrist.org/chd/individual/jacob-jones-1852
5,Right,32,G7R2-5VR,"Jones, James",M,Unknown,1855,Unknown,22 June 1855,,https://history.churchofjesuschrist.org/chd/individual/james-b-jones
5,Right,33,GS6Q-FJS,"Jones, Margaret C.",F,About 1841,1855,About 13,26 June 1855,,https://history.churchofjesuschrist.org/chd/individual/margaret-c-jones-1841
5,Right,34,GS6Q-DHR,"Jones, Mary A. ",F,About 1843,1855,About 11,23 June 1855,,https://history.churchofjesuschrist.org/chd/individual/mary-a-jones-1843
1,Right,51,KWVR-J6Q,"Jones, Samuel",M,1849-07-28,1849,infant,28 July 1849,,https://history.churchofjesuschrist.org/chd/individual/samuel-jones-1849
5,Right,35,GS6Q-KF9,"Jones, Sarah",F,About 1847,1855,About 7,22 June 1855,,https://history.churchofjesuschrist.org/chd/individual/sarah-jones-1847
15,Right,16,K2W1-QDD,"Jorgensen, Jorgen Sophus",M,1867-09-01,1867,infant,2 October 1867,,https://history.churchofjesuschrist.org/chd/individual/jorgen-sophus-jorgensen-1867
6,Left,12,9KD3-7HM,"Jorgensen, Maren Sophia",F,1847-08-24,1856,8,7 November 1856,,https://history.churchofjesuschrist.org/chd/individual/maren-sophia-jorgensen-1847
5,Right,36,LLS7-42Z,"Jost, Eliza Ann",F,1837-07-02,1855,17,20 June 1855,,https://history.churchofjesuschrist.org/chd/individual/eliza-ann-jost-1837
1,Left,6,26LN-4G7,"Judd, Joel",M,About 1835,1850,About 15,15 June 1850,,https://history.churchofjesuschrist.org/chd/individual/joel-judd-1835
8,Center,12,L7J4-WDQ,"Just, Joseph Petersen",M,1854-03-08,1857,3,23 June 1857,,https://history.churchofjesuschrist.org/chd/individual/joseph-pedersen-just-1854
1,Right,45,LCPJ-7CR,"Kay, Maria",F,1839-12-18,1848,8,15 June 1848,,https://history.churchofjesuschrist.org/chd/individual/maria-kay-1839
3,Right,32,KL5Z-F2J,"Kebbell, Henry Charles Sylvester",M,May 1852,1852,infant,Unknown,"DID NOT DIE ON TRAIL. Henry Kebbell Sr, the father, died en route. ",https://history.churchofjesuschrist.org/chd/individual/henry-charles-sylvester-kebbell-1852
6,Left,13,KGCV-LZW,"Keetch, William",M,1848-03-06,1856,8,11 October 1856,,https://history.churchofjesuschrist.org/chd/individual/william-keetch-1848
14,Right,58,KWV3-MMZ,"Kelly, Charles Frederick",M,1862-12-19,1866,3,23 August 1866,,https://history.churchofjesuschrist.org/chd/individual/charles-frederick-kelly-1862
14,Right,59,L61R-SYY,"Kelly, Mary Emma",F,1865-04-07,1866,1,12 August 1866,,https://history.churchofjesuschrist.org/chd/individual/mary-emma-kelly-1865
11,Right,38,KWVH-ZFX,"Kemp, Alice Rosemary",F,1861-06-09,1862,About 1,1862,May not have died on trail. Death date not verified. No documentation of her death. ,https://history.churchofjesuschrist.org/chd/individual/alice-rosemary-kemp-1861
11,Right,39,KWVG-B71,"Kemp, Henry Kelsey",M,1860-12-16,1862,1,3 September 1862,,https://history.churchofjesuschrist.org/chd/individual/henry-kelsey-kemp-1860
11,Right,40,LL3N-PK8,"Kemp, William Heber",M,1853-03-11,1862,9,1862,May not have died on trail. Death date not verified. No documentation of his death. ,https://history.churchofjesuschrist.org/chd/individual/william-heber-kemp-1853
1,Left,7,K8W8-VT3,"Keyes, Zenas ",M,1838-01-01,1850,About 12,26 June 1850,,https://history.churchofjesuschrist.org/chd/individual/zenas-keyes-1838
11,Right,41,LZT7-DLW,"Kidman, Barbara Grange",F,1861-01-08,1862,infant,8 August 1862,,https://history.churchofjesuschrist.org/chd/individual/barbara-grange-kidman-1861
5,Right,37,KC1W-8XK,"Kilbourn, Alfred Heber",M,About 1854,1855,1,About 1855,May not have died on trail. Death date not verified. No documentation of his death. ,https://history.churchofjesuschrist.org/chd/individual/alfred-heber-kilbourn-1854
12,Left,17,MY81-LFH,"King, Rosina",F,1862-01-01,1863,infant,18 August 1863,,https://history.churchofjesuschrist.org/chd/individual/rosina-king-1862
1,Left,8,KWVR-9ZK,"Kington, Ruth Ann",F,1844-09-29,1850,5,25 June 1850,"Same person as ""E. Kington"" referenced in Mary Maughan's journal. ",https://history.churchofjesuschrist.org/chd/individual/ruth-ann-kington-1844
6,Left,14,KWVZ-7M3,"Kirkman, Peter",M,1856-07-09,1856,infant,11 November 1856,,https://history.churchofjesuschrist.org/chd/individual/peter-kirkman-1856
6,Left,15,LHX9-W9B,"Kirkpatrick, Alexander",M,About 1850,1856,About 6,About 1856,"DID NOT DIE ON TRAIL. See PEF ledger b, page 220. Does not show him having died on the plains. ",https://history.churchofjesuschrist.org/chd/individual/alexander-kirkpatrick-1850
6,Left,16,LLSN-Q8Y,"Kirkwood, James",M,1845-02-13,1856,11,24 October 1856,,https://history.churchofjesuschrist.org/chd/individual/james-kirkwood-1845
5,Right,38,KWVP-K4W,"Kjar, Jacob Peter",M,1853-12-26,1855,1,17 June 1855,,https://history.churchofjesuschrist.org/chd/individual/jacob-peter-kjar-1853
13,Left,20,L78B-GW3,"Knudsen, Eline",F,1861-11-25,1864,2,26 September 1864,,https://history.churchofjesuschrist.org/chd/individual/eline-knudsen-1861
15,Left,4,2MSW-QSD,"Kramer, Alia Herman",M,1856-12-06,1868,11,13 September 1868,No sources. ,https://history.churchofjesuschrist.org/chd/individual/alla-herman-kramer-1856
4,Left,14,LDHQ-L9N,"Laidlaw, Francis",M,1854-08-13,1854,infant,14 September 1854,,https://history.churchofjesuschrist.org/chd/individual/francis-laidlaw-1854
14,Right,60,KWJK-CMK,"Lambourne, Lily Jane",F,1865-11-05,1866,infant,25 August 1866,,https://history.churchofjesuschrist.org/chd/individual/lily-jane-lambourne-1865
1,Left,9,G9K3-HZG,"Lamoreaux, Abigail Ann",F,1842-05-21,1850,8,26 June 1850,,https://history.churchofjesuschrist.org/chd/individual/abigail-ann-lamoreaux-1842
15,Left,5,KZY4-DR4,"Lance, Mary Ann Elizabeth",F,1867-04-18,1868,1,24 August 1868,,https://history.churchofjesuschrist.org/chd/individual/mary-ann-elizabeth-lance-1867
5,Right,39,KNW5-JFN,"Langford, Elizabeth",F,About 1846,1855,About 9,22 June 1855,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-langford-1846
4,Right,39,LHSQ-DB1,"Larsen, Anne",F,1843-11-22,1853,9,1853,DID NOT DIE ON TRAIL. She was baptized on 7 September 1855 in Utah.,https://history.churchofjesuschrist.org/chd/individual/anne-larsen-1843
6,Left,17,K2QF-QZ1,"Larsen, Hanna Sophie",F,1845-06-16,1856,11,21 October 1856,,https://history.churchofjesuschrist.org/chd/individual/hanna-sophie-larsen-1845
11,Right,42,LVSH-7DW,"Larsen, Jacobine Marie",F,About 1862,1862,infant,16 September 1862,,https://history.churchofjesuschrist.org/chd/individual/jacobine-marie-larsen-1862
11,Right,43,KWZ1-P7C,"Larsen, Jensine",F,1851-02-17,1862,11,2 August 1933,DID NOT DIE ON TRAIL. Her death date was incorrectly entered into the database. Anders Larsen was her stepfather. ,https://history.churchofjesuschrist.org/chd/individual/jensine-larsen-1851
6,Left,18,KWVG-NV9,"Larsen, Joseph",M,1856-09-25,1856,infant,1 December 1856,,https://history.churchofjesuschrist.org/chd/individual/joseph-larsen-1856
14,Right,61,KWJN-MYP,"Larsen, Karoline Bertha",F,1865-02-21,1866,1,8 September 1866,No sources to confirm date of death. ,https://history.churchofjesuschrist.org/chd/individual/karoline-bertha-larsen-1865
6,Left,19,KWVP-2XB,"Larsen, Lars Julius",M,1856-07-05,1856,Infant,16 October 1856,,https://history.churchofjesuschrist.org/chd/individual/lars-julius-larsen-1856
12,Left,18,KWJ4-13S,"Larsen, Lars Peter",M,1855-08-07,1863,7,1863,,https://history.churchofjesuschrist.org/chd/individual/lars-peter-larsen-1855
14,Right,62,MD3N-DFZ,"Larsen, Lars Peter",M,1853-08-02,1866,13,13 August 1866,,https://history.churchofjesuschrist.org/chd/individual/lars-peter-larsen-1853
9,Center,6,KN14-P2S,"Larsen, Lauritz",M,1858-09-14,1859,Infant,7 September 1859,,https://history.churchofjesuschrist.org/chd/individual/lauritz-larsen-1858
12,Left,19,M1PP-VKY,"Larsen, Mette Marie",F,1855-10-28,1863,7,28 July 1863,May not have died on trail. Have not found documentation confirming her date of death.,https://history.churchofjesuschrist.org/chd/individual/mette-marie-larsen-1855
14,Right,63,KWJF-1N8,"Larsen, Thora Marie",F,1857-07-10,1866,9,1866,,https://history.churchofjesuschrist.org/chd/individual/thora-marie-larsen-1857
13,Left,21,KWVG-26F,"Lauritzen, Hans Johan",M,1863-05-25,1864,1,1864,,https://history.churchofjesuschrist.org/chd/individual/hans-johan-lauritzen-1863
3,Right,33,KWV5-7TR,"Lavender, Mary Ann",F,1850-02-18,1852,2,1852,,https://history.churchofjesuschrist.org/chd/individual/mary-ann-lavender-1850
11,Right,44,K2M2-G1K,"Le Clerg, Eliza",F,About 1856,1862,4,1 October 1862,"Surname is ""Le Clerq."" With a Q.",https://history.churchofjesuschrist.org/chd/individual/eliza-le-clercq-1856?
12,Left,20,KWVL-1KC,"Lea, Abraham Lamb",M,1861-06-13,1863,1,26 October 1863,,https://history.churchofjesuschrist.org/chd/individual/abraham-lamb-lea-1861
6,Left,20,KC68-Y4R,"Leason, William N. ",M,1854-11-07,1856,1,21 September 1856,,https://history.churchofjesuschrist.org/chd/individual/william-n-leason-1854
1,Left,10,KWBB-NK5,"Lee, Jacob Edward",M,1848-12-19,1850,1,25 June 1850,,https://history.churchofjesuschrist.org/chd/individual/jacob-edward-lee-1848
9,Center,7,K2MW-TXN,"Lee, Moroni",M,1859-07-11,1859,Infant,15 July 1859,,https://history.churchofjesuschrist.org/chd/individual/moroni-lee-1859
6,Left,21,K2MW-G1W,"Lee, William",M,1844-01-29,1856,12,14 June 1856,,https://history.churchofjesuschrist.org/chd/individual/william-lee-1844
14,Right,64,KWVC-95J,"Lehmberg, Joseph Willard",M,1866-08-16,1866,Infant,28 August 1866,,https://history.churchofjesuschrist.org/chd/individual/joseph-willard-lehmberg-1866
1,Left,11,K2H7-7N3,"Leonard, Truman Milton",M,,,,,DID NOT DIE ON TRAIL. No exact death date. Believed to have died before the family left with the company. Not represented in the database. ,Not in BioDB.
13,Left,22,KNBD-77V,"Lines, John Hyrum",M,1850-11-07,1864,13,August 1864,,https://history.churchofjesuschrist.org/chd/individual/john-hyrum-lines-1850
13,Left,23,KWVH-RC8,"Lines, Joseph Edwin",M,1855-12-07,1864,7,August 1864,,https://history.churchofjesuschrist.org/chd/individual/joseph-edwin-lines-1855
13,Left,24,KWJF-MCQ,"Lines, Lucy",F,1847-11-28,1864,16,August 1864,,https://history.churchofjesuschrist.org/chd/individual/lucy-lines-1847
3,Right,34,KWVP-NC5,"Little, Sarah Louise",F,1852-07-04,1852,Infant,14 July 1852,,https://history.churchofjesuschrist.org/chd/individual/sarah-louise-little-1852
12,Left,21,G7RZ-WJJ,"Lock, Hannah Toplin",F,1860-01-01,1863,3,15 August 1863,,https://history.churchofjesuschrist.org/chd/individual/hannah-toplin-lock-1860
12,Left,22,G7RZ-FTY,"Lock, Samuel",M,About 1863,1863,Infant,26 August 1863,,https://history.churchofjesuschrist.org/chd/individual/samuel-lock-1863
10,Right,18,KWVQ-HQ3,"Looser, Arnold",M,1860-01-15,1861,1,10 August 1861,,https://history.churchofjesuschrist.org/chd/individual/arnold-losser-1860
1,Left,12,KWVQ-77T,"Loveland, Levi Cyril",M,1846-10-19,1850,3,7 July 1850,,https://history.churchofjesuschrist.org/chd/individual/levi-cyril-loveland-1846
13,Left,47,L8B4-TB3,"Lucas, Clara",F,1863-07-10,1865,2,September 1865,,https://history.churchofjesuschrist.org/chd/individual/clara-lucas-1863
11,Right,45,KC9G-9P1,"Luker, Elisha John",M,1861-10-19,1862,Infant,13 August 1862,,https://history.churchofjesuschrist.org/chd/individual/elisha-john-luker-1861
11,Right,46,KCBF-KBV,"Luker, Mary Matilda",F,1860-04-09,1862,2,7 September 1862,,https://history.churchofjesuschrist.org/chd/individual/mary-matilda-luker-1860
15,Left,6,LKFN-N2F,"Lund, Emma Constance",F,1866-11-25,1868,1,29 September 1868,,https://history.churchofjesuschrist.org/chd/individual/emma-constance-lund-1866
3,Right,35,G7RL-HZ7,"Lund, NN",,1852-07-21,1852,Infant,21 July 1852,,https://history.churchofjesuschrist.org/chd/individual/-infant-lund-1852
14,Left,1,K24Z-Q22,"Lundberg, Amanda Josephine",F,1865-03-27,1866,1,August 1866,,https://history.churchofjesuschrist.org/chd/individual/amanda-josephine-lundberg-1865
13,Left,25,K244-LGR,"Lundgren, Lars Peter",M,1847-01-20,1864,17,13 September 1864,,https://history.churchofjesuschrist.org/chd/individual/lars-peter-lundgren-1847
8,Center,13,KFXW-G4W,"Madsen, Franklin",M,1856-12-01,1857,Infant,June 1857,,https://history.churchofjesuschrist.org/chd/individual/franklin-madsen-1856
11,Right,47,KH59-X5B,"Mail, William Washington",M,1845-12-01,1862,16,14 July 1862,,https://history.churchofjesuschrist.org/chd/individual/william-washington-mail-1845
3,Right,36,KWVT-XBG,"Malcolm, Agnes Christina",F,1846-06-22,1852,5,29 September 1852,,https://history.churchofjesuschrist.org/chd/individual/agnes-malcolm-1846
15,Left,7,KWVP-1JY,"Mallet, William Charles",M,1865-07-03,1868,3,August 1868,,https://history.churchofjesuschrist.org/chd/individual/william-charles-mallet-1865
3,Right,37,2VMV-NQH,"Mangum, Marinda Elizabeth",F,1850-10-07,1852,1,30 June 1852,,https://history.churchofjesuschrist.org/chd/individual/marinda-elizabeth-mangum-1850
10,Right,19,LKVY-WXZ,"Marsden, Mary Eliza",F,1860-07-01,1861,Infant,4 August 1861,,https://history.churchofjesuschrist.org/chd/individual/mary-eliza-marsden-1860
11,Left,1,LM96-5J9,"Martin, Esther Jane",F,1861-07-31,1862,1,11 September 1862,,https://history.churchofjesuschrist.org/chd/individual/esther-jane-martin-1861
4,Right,40,G757-NX4,"Mason, Phoebe Louisa",F,1853-09-16,1853,Infant,20 September 1853,,https://history.churchofjesuschrist.org/chd/individual/phoebe-louisa-mason-1853
5,Right,40,KWJ7-18R,"Mather, Alice",F,1842-01-03,1855,13,July 1855,,https://history.churchofjesuschrist.org/chd/individual/alice-mather-1842
12,Left,23,LL3B-WXM,"Mathie, Margaret",F,1861-11-26,1863,1,29 October 1863,,https://history.churchofjesuschrist.org/chd/individual/margaret-baird-mathie-1861
4,Right,41,KWVP-88B,"Matthews, Emma",F,1851-01-01,1853,2,Unknown,"May not have died on trail. Date of death is ""Unknown.""",https://history.churchofjesuschrist.org/chd/individual/emma-matthews-1851
4,Right,42,KWVP-88T,"Matthews, Sarah Ann",F,1843-01-17,1866,23,8 June 1874,,https://history.churchofjesuschrist.org/chd/individual/sarah-ann-matthews-1843
1,Left,13,KWJB-NN2,"Maughan, Peter Weston",M,1847-05-20,1850,3,12 July 1850,,https://history.churchofjesuschrist.org/chd/individual/peter-weston-maughan-1847
11,Left,2,KWJX-B5F,"Maw, Ann Snell",F,1861-08-18,1862,Infant,20 August 1862,,https://history.churchofjesuschrist.org/chd/individual/annie-snell-maw-1861
1,Left,14,KWVH-V6H,"McClellan, James Traves",M,1848-08-19,1850,1,1 July 1850,,https://history.churchofjesuschrist.org/chd/individual/james-travers-mcclellan-1848
13,Left,26,KWVH-78W,"McCulloch, Robert",M,1860-04-19,1864,3,1864,,https://history.churchofjesuschrist.org/chd/individual/robert-mcculloch-1860
4,Left,15,KWJ4-CPJ,"McMaster, Israelus",M,1852-09-14,1854,1,12 July 1854,,https://history.churchofjesuschrist.org/chd/individual/israelus-mcmaster-1852
3,Right,38,KWVP-FW5,"McMichael, Joseph Clements",M,,,,,DID NOT DIE ON TRAIL. Died earlier. Removed from database.,Not in BioDB
13,Left,27,KWVM-HQ1,"McNeil, William",M,1864-08-22,1864,Infant,14 September 1864,,https://history.churchofjesuschrist.org/chd/individual/william-mcneil-1864
10,Right,20,G7R2-7VY,"Memmott, David M. ",M,About 1858,1861,3,25 July 1861,This is actually David M. Gammit.,https://history.churchofjesuschrist.org/chd/individual/david-m-gammit-1858
10,Right,21,KWV5-JX9,"Michie, Eliza Ann Helena",F,1860-04-11,1861,Infant,26 August 1861,,https://history.churchofjesuschrist.org/chd/individual/eliza-ann-helena-michie-1860
5,Right,41,KGCL-GMZ,"Middlemas, Edward Robert",M,1848-01-25,1855,7,28 June 1855,,https://history.churchofjesuschrist.org/chd/individual/edward-robert-middlemass-1848
5,Left,1,KGCL-GZ8,"Middlemass, Emma Sharlotte",F,1845-10-21,1855,9,24 June 1855,,https://history.churchofjesuschrist.org/chd/individual/emma-charlotte-middlemass-1845
5,Left,2,K8KJ-9SK,"Middlemass, William Mark",M,1849-11-22,1855,5,26 June 1855,,https://history.churchofjesuschrist.org/chd/individual/william-mark-middlemass-1849
6,Left,22,LLM2-6MQ,"Miles, William Morgan",M,1840-09-11,1856,15,1856,,https://history.churchofjesuschrist.org/chd/individual/william-morgan-miles-1840
12,Left,24,KWJ1-3CS,"Mitchell, Amelia",F,1862-05-12,1863,1,23 July 1863,,https://history.churchofjesuschrist.org/chd/individual/amelia-mitchell-1862
11,Left,3,M52G-N3H,"Mitchell, Hannah Mary",F,1862-07-07,1862,Infant,25 July 1862,,https://history.churchofjesuschrist.org/chd/individual/hannah-mary-mitchell-1862
11,Left,4,KCPL-1MG,"Mitchell, Martha",F,About 1861,1862,1,5 September 1862,,https://history.churchofjesuschrist.org/chd/individual/martha-mitchell-1861
5,Left,3,MN8T-FKC,"Morgan, Thomas",M,1843-06-14,1855,12,19 June 1855,"Not the son of Thomas and Armiah Morgan. His father's name was Thomas, but his mother's name has not been confirmed.",https://history.churchofjesuschrist.org/chd/individual/thomas-morgan-1843
3,Right,39,27YS-XNB,"Morris, Jenett",F,1849-06-01,1852,3,Before 20 September 1852,,https://history.churchofjesuschrist.org/chd/individual/jennett-morris-1849
11,Left,5,KWJX-T6D,"Morris, Joseph Hyrum",M,1855-04-28,1862,7,7 September 1862,,https://history.churchofjesuschrist.org/chd/individual/joseph-hyrum-morris-1855
11,Left,6,K8JF-VKH,"Morris, Sarah Ann",F,1861-08-28,1862,Infant,13 August 1862,,https://history.churchofjesuschrist.org/chd/individual/sarah-ann-morris-1861
11,Left,7,LLMX-WJY,"Morris, Sarah Jane",F,1852-02-08,1862,10,10 September 1862,,https://history.churchofjesuschrist.org/chd/individual/sarah-jane-morris-1852
9,Center,21,KWVQ-H77,"Morris, William Edwin",M,1857-08-18,1860,2,2 June 1860,,https://history.churchofjesuschrist.org/chd/individual/william-edwin-morris-1857
6,Left,23,LH6Z-4Y3,"Mortensen, Bodil",F,1846-08-05,1856,9,24 October 1856,,https://history.churchofjesuschrist.org/chd/individual/bodil-maline-mortensen-1846
14,Left,2,KWV3-B8C,"Mortensen, Bola Christine",F,February 1865,1866,1,July 1866,,https://history.churchofjesuschrist.org/chd/individual/bola-christine-mortensen-1865
12,Left,25,KWVH-HCS,"Mortensen, Camilla Thyra",F,1862-04-21,1863,1,1 January 1863,,https://history.churchofjesuschrist.org/chd/individual/camilla-thyra-mortensen-1862
14,Left,3,KWJJ-XYV,"Mortensen, Josephine Christine",M,1862-05-05,1866,4,July 1866,,https://history.churchofjesuschrist.org/chd/individual/josephine-christine-mortensen-1862
12,Left,26,KWVH-8W6,"Mortensen, Willard Pratt",M,1860-03-15,1863,3,9 August 1863,,https://history.churchofjesuschrist.org/chd/individual/willard-pratt-mortensen-1860
12,Left,27,L581-F5V,"Moss, Mary Ann",F,1829-10-07,,33,2 April 1892,"DID NOT DIE EN ROUTE. Her death date was incorrectly entered into the database. There was another Mary Moss (Mary Jane Moss) who was traveling to Utah in 1852 and died in route. She was described as a ""young woman who drank too much.""",https://history.churchofjesuschrist.org/chd/individual/ann-moss-1829
10,Right,22,KWV5-YC9,"Moulding, Esther Mary",F,1859-11-24,1861,1,27 July 1861,,https://history.churchofjesuschrist.org/chd/individual/esther-mary-moulding-1859
8,Center,14,G75C-KCZ,"Muller, NN",,1857-06-28,1857,Infant,28 June 1857,,https://history.churchofjesuschrist.org/chd/individual/child-muller-1857
4,Right,43,KWJ7-B3T,"Nalder, Sarah Elizabeth",F,1852-12-28,1853,Infant,18 August 1853,,https://history.churchofjesuschrist.org/chd/individual/sarah-elizabeth-nalder-1852
8,Center,15,KWV5-46W,"Nebeker, Mariah Louise",F,1856-11-07,1857,Infant,14 October 1857,,https://history.churchofjesuschrist.org/chd/individual/mariah-louise-nebeker-1856
2,Center,2,K24B-DF6,"Needham, Robert Platt",M,1851-07-30,1851,Infant,30 October 1851,,https://history.churchofjesuschrist.org/chd/individual/robert-platt-needham-1851
5,Left,4,KWV5-SFF,"Neel, Sarah Platte",F,1855-07-18,1855,Infant,18 August 1855,,https://history.churchofjesuschrist.org/chd/individual/sarah-platte-neel-1855
14,Left,4,KWJD-Y4G,"Neil, Agnes",F,1865-01-01,1866,1,9 August 1866,,https://history.churchofjesuschrist.org/chd/individual/agnes-neil-1865
6,Left,24,LLSF-X15,"Newman, Hannah",F,1856-11-13,1856,Infant,13 November 1856,,https://history.churchofjesuschrist.org/chd/individual/hannah-newman-1856
11,Left,8,KFJB-Q4X,"Nichols, Frederick Crane",M,1861-01-13,1862,1,2 October 1862,,https://history.churchofjesuschrist.org/chd/individual/frederick-crane-nichols-1861
9,Center,22,LHNW-9NN,"Nicolaisen, Wita Petrine Amelia",F,,,,,DID NOT ON TRAIL. She died before the company left Florence. She is not represented in the database.,Not in BioDB
13,Left,28,KWJN-P5N,"Nieffenegger, Godfried",M,1860-06-03,1864,4,1864,,https://history.churchofjesuschrist.org/chd/individual/godfried-nieffenegger-1860
13,Left,29,KNX6-3GC,"Nieffenegger, Johannes",M,January 1864,1864,Infant,September 1864,,https://history.churchofjesuschrist.org/chd/individual/johannes-nieffenegger-1864
13,Left,30,KNX6-3GW,"Nieffenegger, Lissette",F,1861-06-14,1864,3,September 1864,,https://history.churchofjesuschrist.org/chd/individual/lissette-nieffenegger-1861
11,Left,9,KNWZ-6SX,"Nielsen, Albertine",F,1860-08-22,1862,1,1862,,https://history.churchofjesuschrist.org/chd/individual/albertine-nielsen-1860
15,Left,8,KWJD-3QF,"Nielsen, Ane Sophia",F,1867-02-01,1868,1,September 1868,,https://history.churchofjesuschrist.org/chd/individual/ane-sophia-nielsen-1867
13,Left,31,L4GZ-9P6,"Nielsen, Anna Sophia",F,1862-05-12,1863,1,1863,,https://history.churchofjesuschrist.org/chd/individual/anna-sophie-nielsen-1862
15,Left,9,G968-FG8,"Nielsen, Christian Peder Edvard",M,1864-08-15,1868,4,September 1868,,https://history.churchofjesuschrist.org/chd/individual/christian-nielsen-1864
13,Left,32,LLMT-PW1,"Nielsen, Jens Michael",M,1862-01-01,1864,1864,25 August 1864,,https://history.churchofjesuschrist.org/chd/individual/jens-michael-nielsen-1862
15,Left,10,KWJ2-RK9,"Nielsen, Karen Marie ",F,1856-03-15,1868,12,September 1868,,https://history.churchofjesuschrist.org/chd/individual/karen-marie-nielsen-1856
14,Left,5,KWVP-ZYR,"Nielsen, Lauritz Alma",M,1866-03-23,1866,Infant,7 September 1866,,https://history.churchofjesuschrist.org/chd/individual/lauritz-alma-nielsen-1866
13,Left,48,G7RF-ZL8,"Nielsen, Lovisa",F,About 1848,1865,17,1865,,https://history.churchofjesuschrist.org/chd/individual/lovisa-nielsen-1848
14,Left,6,29HC-MRX,"Nielsen, Marie Josephine",F,May 1866,1866,Infant,17 August 1866,,https://history.churchofjesuschrist.org/chd/individual/marie-josephine-nielsen-1866
6,Left,25,K2QF-S76,"Nielsen, Niels",M,1850-10-29,1856,5,24 October 1856,,https://history.churchofjesuschrist.org/chd/individual/niels-nielsen-1850
14,Left,7,KWVG-33R,"Nielsen, Niels Ditlov",M,1855-03-19,1866,11,9 August 1866,,https://history.churchofjesuschrist.org/chd/individual/niels-ditlov-nielsen-1855
15,Left,11,KWV5-2QT,"Nilson, Anna ",F,1861-01-14,1868,7,20 September 1868,,https://history.churchofjesuschrist.org/chd/individual/anna-nilson-1861
13,Left,49,LH7Z-QD3,"Nilsson, Justina",F,1857-01-29,1866,9,1866,May not have died en route. Death date on Family Search does not match trek dates. She may have reached Utah and lived a full life. Too many discrepancies.,https://history.churchofjesuschrist.org/chd/individual/justina-s-nilsson-1857
13,Right,51,KWVP-KYX,"Nilsson, Sine Katrine",F,1859-07-06,1863,4,1863,,https://history.churchofjesuschrist.org/chd/individual/sine-katrine-nielson-1859
7,Left ,2,KWJQ-PDX,"Normington, Daniel",M,1854-12-12,1856,1,12 August 1856,,https://history.churchofjesuschrist.org/chd/individual/daniel-normington-1854
7,Left ,3,KWJH-JK8,"Normington, Ephraim",M,1851-08-21,1856,4,10 August 1856,,https://history.churchofjesuschrist.org/chd/individual/ephraim-robert-normington-1851
7,Left ,1,LHTC-MWH,"Normington, NN",M,About 1856,1856,Infant,1856,No sources associated with his PD profile or on FS. More research needed to confirm his existence and death. ,https://history.churchofjesuschrist.org/chd/individual/infant-normington-1856
11,Left,10,KWJF-47Z,"Oakey, Lucy",F,1845-02-23,1862,17,28 July 1862,,https://history.churchofjesuschrist.org/chd/individual/lucy-oakey-1845
7,Left ,4,KWJH-LLN,"Oakey, Rhoda Rebecca",F,1845-10-28,1856,10,9 November 1856,,https://history.churchofjesuschrist.org/chd/individual/rhoda-rebecca-oakey-1845
4,Left,16,KWV3-TFK,"Obray, Louisa Shelton",F,1837-08-22,1854,16,28 June 1854,Married at the time of death.,https://history.churchofjesuschrist.org/chd/individual/louisa-shelton-1837
3,Right,40,K8RD-KWC,"Odell, Ann Jenett",F,1846-03-10,1852,5,1852,,https://history.churchofjesuschrist.org/chd/individual/ann-jenett-odell-1846
3,Right,41,K6ND-3YN,"Odell, Elizabeth Jane",F,1840-04-18,1852,11,1852,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-jane-odell-1840
